training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
41.59636,0.599176,0.027666263,0.24063902,-24.397429,24.397429,1.2995715,-17.948717,-24.399303,-24.73128,8.645756,-7.358966,230.49568,42.70971,0.6353387,0.02950322,0.25881213,-24.37244,24.37244,0.028426463,-18.91782,-24.37475,-24.720587,0.11823765296936035,591.1882963180542,5000
58.215607,0.56092274,0.026009798,0.20358099,-42.048805,42.048805,0.17904612,-21.452614,-42.038876,-42.676937,13.603501,-14.933024,243.23244,58.311825,0.59727645,0.026085656,0.20420174,-42.063156,42.063156,1.9577147,-21.76772,-42.07175,-42.67793,0.10008791561126709,1091.6279113292694,10000
69.49618,0.51469946,0.023784501,0.18446684,-54.710777,54.710777,1.5648788,-12.668927,-54.712215,-56.063057,17.01546,-13.218571,254.5022,69.74803,0.55438334,0.023177259,0.18772073,-55.287292,55.287292,0.41180462,-21.190615,-55.321487,-56.049282,0.09996995902061462,1591.4777364730835,15000
77.83316,0.49734288,0.019676598,0.17362915,-65.52986,65.52986,2.1151624,-17.621433,-65.53491,-66.35051,14.838071,-11.102892,244.43192,78.87987,0.4586772,0.021557564,0.17722997,-65.48665,65.48665,0.44673067,-11.178719,-65.47095,-66.29414,0.10131249966621399,2098.04026055336,20000
86.1773,0.48981094,0.01998494,0.16863696,-73.696526,73.696526,0.21585381,-49.55819,-73.70119,-74.32668,19.517662,-17.565922,234.02036,86.61458,0.49853325,0.02157968,0.17758745,-73.168236,73.168236,0.4300734,-8.77106,-73.178505,-74.32568,0.10044044032096863,2600.242489337921,25000
93.358154,0.48217675,0.022747444,0.1722636,-79.22751,79.22751,0.3726858,-6.4551334,-79.22776,-80.6173,22.61591,-18.373077,267.63885,93.50423,0.48680997,0.022568487,0.16943353,-79.476326,79.476326,0.95625776,-11.342052,-79.4789,-80.62921,0.10156624774932861,3108.073763370514,30000
97.755714,0.4407187,0.021295028,0.16172837,-84.53798,84.53798,0.3522843,-35.400696,-84.54822,-85.3752,29.394958,-19.214605,284.36987,96.83007,0.46849057,0.02009342,0.15887375,-84.30553,84.30553,1.0686257,-11.743555,-84.29582,-85.36055,0.10047558336257935,3610.4517045021057,35000
100.596985,0.46218818,0.020865021,0.15847422,-87.61578,87.61578,1.2598767,-10.857621,-87.621994,-89.22755,26.843643,-14.236601,283.04645,99.52979,0.4386762,0.02013242,0.1635269,-87.011665,87.011665,1.8044428,-9.716202,-86.99665,-89.19351,0.10120466561317444,4116.475058078766,40000
103.400925,0.44220752,0.020398833,0.16358663,-90.71941,90.71941,0.6424875,-12.17214,-90.708435,-92.145226,15.928902,-27.372324,237.95493,103.54939,0.44047517,0.019181268,0.1496079,-91.60016,91.60016,0.108623356,-25.596735,-91.599525,-92.13759,0.10133498687744141,4623.150021076202,45000
104.28435,0.42166466,0.01812868,0.15371042,-92.98547,92.98547,0.2207097,-7.6154156,-92.975876,-94.33917,15.092969,-17.573254,212.73549,105.845535,0.44201297,0.019347664,0.16360974,-93.79492,93.79492,0.39198968,-55.855083,-93.79071,-94.35949,0.1008264753818512,5127.282428026199,50000
106.29736,0.4500877,0.018644689,0.15450135,-94.66046,94.66046,0.18968594,-9.760924,-94.65084,-96.15103,17.130667,-18.422619,223.82486,107.475525,0.47287488,0.019615475,0.15384525,-95.23337,95.23337,0.3391352,-34.71596,-95.244255,-96.18037,0.10014960803985595,5628.030497550964,55000
108.85048,0.48037702,0.020059358,0.1521676,-96.33449,96.33449,0.36911035,-8.039821,-96.32797,-97.52175,23.511473,-28.730352,245.54091,109.13791,0.47121274,0.021033423,0.15291886,-96.04664,96.04664,0.57776904,-5.46183,-96.06121,-97.51958,0.1004006561756134,6130.03381061554,60000
110.011246,0.4387031,0.01965838,0.14162229,-97.77751,97.77751,0.27185532,-29.069605,-97.79365,-98.567345,16.490211,-20.677303,223.08527,109.56783,0.4575507,0.019836873,0.14636792,-97.20816,97.20816,0.9316144,-49.847393,-97.19652,-98.567215,0.10086197547912598,6634.343715190887,65000
107.85197,0.41838565,0.016733864,0.1388697,-97.393265,97.393265,1.5159818,-11.493039,-97.400925,-99.19828,15.2892475,-14.88558,230.23853,109.2463,0.4463274,0.017839435,0.13780715,-98.09631,98.09631,0.3969525,-9.472657,-98.0914,-99.222496,0.10116014041900635,7140.1444482803345,70000
109.88351,0.43215644,0.018172067,0.14935094,-98.54811,98.54811,0.59886664,-6.4676857,-98.53985,-99.908615,14.889781,-16.124376,238.07382,111.22146,0.50657624,0.020138608,0.15564415,-98.631714,98.631714,0.83770835,-13.051163,-98.64663,-99.89466,0.10023360071182251,7641.312502384186,75000
110.31889,0.4292871,0.018508026,0.13689008,-98.78479,98.78479,1.2384375,-3.0905035,-98.813416,-100.32956,22.230883,-28.979353,291.05762,110.33264,0.49058416,0.019351395,0.14425117,-98.231224,98.231224,0.54319936,-5.812242,-98.21877,-100.36111,0.10001827111244202,8141.40388917923,80000
111.800476,0.43186852,0.019878257,0.13941652,-99.44165,99.44165,0.6985525,-27.91711,-99.44698,-100.59248,23.153624,-21.291126,311.64835,111.53609,0.42962635,0.020273346,0.14434205,-98.94245,98.94245,15.410336,-30.453825,-98.929504,-100.61186,0.10004956369400024,8641.651735067368,85000
112.022316,0.40800217,0.01951583,0.14465202,-99.904816,99.904816,0.20226422,-61.006256,-99.91471,-100.92546,41.67427,-31.091845,251.37045,111.996445,0.43377033,0.020096349,0.1464313,-99.50487,99.50487,0.435345,-7.1672034,-99.497406,-100.88971,0.10047523736953735,9144.027946710587,90000
111.38375,0.42617118,0.019032976,0.13969204,-99.537796,99.537796,0.15498438,-9.303557,-99.547485,-101.0217,13.794231,-16.151962,208.37209,111.082306,0.45235163,0.018153999,0.14893,-99.73756,99.73756,0.1844571,-4.2807493,-99.76099,-101.00306,0.10027061624526977,9645.381060123444,95000
110.50422,0.42655143,0.017128779,0.13298646,-99.8004,99.8004,0.73619187,-5.8196616,-99.79528,-101.21587,17.571875,-17.804428,219.84758,111.198944,0.40100917,0.017914288,0.14670895,-100.04936,100.04936,0.66105896,-10.607959,-100.06321,-101.206055,0.09945808672904968,10142.671523332596,100000
110.85037,0.3987497,0.01789519,0.14421667,-99.71451,99.71451,4.206685,-6.817437,-99.716446,-101.3631,39.98346,-34.016766,399.317,111.252365,0.40077206,0.01865899,0.13894036,-99.6562,99.6562,14.182888,-20.057234,-99.67082,-101.31225,0.15864001145362855,10935.871604442596,105000
111.8138,0.45082748,0.017850079,0.1393789,-100.65292,100.65292,0.13061877,-39.069534,-100.65132,-101.32542,32.335056,-31.072685,250.35635,113.34242,0.44073597,0.021447908,0.15276557,-100.03294,100.03294,0.4603511,-18.305132,-100.04174,-101.33669,0.09002541155815125,11385.998699426651,110000
110.40393,0.40470105,0.017298315,0.13906834,-99.62024,99.62024,1.218693,-12.334844,-99.60167,-101.38218,21.006706,-11.912828,264.49664,111.04175,0.46943194,0.017196914,0.14605321,-100.254166,100.254166,0.30337194,-7.8484845,-100.242874,-101.40464,0.11781118869781494,11975.054696798325,115000
